,state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
898,WA,SurveyUSA,,5/16/2020,5/19/2020,5/21/2020 20:26:00,530,lv,Online,57,31,26,,,http://www.surveyusa.com/client/PollReport.aspx?g=eb9c7a11-4c4c-469e-aad9-6fb9ce040a5b,True,
899,MI,Change Research,Crooked,5/16/2020,5/19/2020,5/21/2020 20:25:00,3070,lv,Online,47,44,3,4.0,,https://crooked.com/articles/michigan-2020-pollercoaster/,True,
900,WI,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,875,lv,Online,48,38,10,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
901,MI,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,970,lv,Online,47,39,8,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
902,PA,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,963,lv,Online,48,39,9,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
903,FL,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,1014,lv,Online,45,43,2,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
904,NC,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,859,lv,Online,45,43,2,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
905,AZ,Redfield & Wilton Strategies,,5/10/2020,5/14/2020,5/21/2020 20:24:00,946,lv,Online,45,41,4,,,https://redfieldandwiltonstrategies.com/the-story-in-six-swing-states/,True,
906,PA,Hodas & Associates,,5/9/2020,5/13/2020,5/21/2020 20:21:00,600,lv,Live Phone,46,50,-4,,4.0,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/448/attachments/original/1589919532/restoration_pac_pennsylvania_toplines_may2020.pdf,True,
907,--,Data for Progress,,5/12/2020,5/12/2020,5/21/2020 20:21:00,684,rv,Online,48,41,7,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJLZIN,True,
908,WI,Hodas & Associates,,5/6/2020,5/8/2020,5/21/2020 20:20:00,600,lv,Live Phone,51,42,9,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/448/attachments/original/1589465671/restoration_pac_wisconsin_toplines_may2020.pdf,True,
909,MI,Hodas & Associates,,5/1/2020,5/5/2020,5/21/2020 20:14:00,600,lv,Live Phone,50,42,8,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/448/attachments/original/1589465664/restoration_pac_michigan_toplines_may2020.pdf,True,
910,CA,SurveyUSA,,5/18/2020,5/19/2020,5/21/2020 20:07:00,537,lv,Online,58,30,28,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-05/2020_reuters_tracking_-_core_political_coronavirus_tracker_05_20_2020.pdf,True,
911,--,Ipsos,Reuters,5/18/2020,5/19/2020,5/21/2020 20:06:00,957,rv,Online,47,38,9,5.0,7.0,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-05/2020_reuters_tracking_-_core_political_coronavirus_tracker_05_20_2020.pdf,True,
912,--,Quinnipiac University,,5/14/2020,5/18/2020,5/21/2020 20:05:00,1323,rv,Live Phone,50,39,11,2.0,7.0,https://poll.qu.edu/national/release-detail?ReleaseID=3661,True,
913,KY,Public Policy Polling,,5/14/2020,5/15/2020,5/21/2020 20:03:00,1104,rv,IVR,39,55,-16,5.0,2.0,https://www.publicpolicypolling.com/wp-content/uploads/2020/05/KentuckyResultsMay2020.pdf,True,
914,--,YouGov,Economist,5/17/2020,5/19/2020,5/20/2020 12:20:00,1235,rv,Online,47,42,5,4.0,5.0,https://docs.cdn.yougov.com/q0t43bjops/econTabReport.pdf,True,
915,--,Change Research,,5/15/2020,5/17/2020,5/20/2020 12:18:00,1424,lv,Online,48,45,3,,,https://1de9b613-f5ea-469f-bbea-e129fedcca0d.usrfiles.com/ugd/1de9b6_2c7f52f9aeb1454691efcd8186cbda47.pdf,True,
916,--,Morning Consult,,5/11/2020,5/17/2020,5/20/2020 12:16:00,28159,rv,Online,46,41,5,,,https://morningconsult.com/2020/05/20/trump-biden-trust-china-coronavirus-polling/,True,
917,GA,Civiqs,Daily Kos,5/16/2020,5/18/2020,5/20/2020 12:12:00,1339,rv,Online,48,47,1,3.0,2.0,https://civiqs.com/documents/Civiqs_DailyKos_GA_banner_book_2020_05_h79s1a.pdf,True,
918,FL,Point Blank Political,,5/14/2020,5/17/2020,5/20/2020 12:09:00,2149,lv,Text/Online,45,44,1,3.0,8.0,https://www.pointblankpolitical.com/wp-content/uploads/2020/05/2020-05-Florida-General-Poll-Report-1.pdf,True,
919,VA,Roanoke College,,5/3/2020,5/16/2020,5/20/2020 12:05:00,563,lv,Live Phone,51,39,12,,,https://www.roanoke.edu/about/news/rc_poll_politics_may_2020,True,
920,AZ,OH Predictive Insights,MBQF,5/9/2020,5/11/2020,5/20/2020 12:03:00,600,lv,IVR/Live Phone,50,43,7,,6.0,https://cdn2.hubspot.net/hubfs/7453540/Arizona%20Public%20Opinion%20Pulse%20-%20Presidential.pdf,True,
921,TN,East Tennessee State University,,4/22/2020,5/1/2020,5/20/2020 11:59:00,536,lv,Live Phone,36,53,-17,,,https://www.etsu.edu/cas/sociology/asrl/documents/tnpoll5_bannertablespr2.pdf,True,
922,--,RMG Research,ScottRasmussen.com,5/14/2020,5/16/2020,5/20/2020 11:57:00,1200,rv,Online,43,39,4,3.0,,https://scottrasmussen.com/biden-44-trump-38/,True,
923,--,Optimus,,5/9/2020,5/16/2020,5/20/2020 11:57:00,780,lv,Online,52,41,11,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/May-18-2020,True,
924,--,The Harris Poll,Harvard,5/13/2020,5/14/2020,5/20/2020 11:54:00,1708,lv,Online,53,47,6,,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/137bf650-965a-4f7b-a305-9eb1014db2db/HHP_may20_final_version.pdf,True,
925,--,The Harris Poll,Harvard,5/13/2020,5/14/2020,5/20/2020 11:54:00,1854,rv,Online,53,47,6,,,https://harvardharrispoll.com/wp-content/uploads/2020/05/May20_HHP_RegisteredVoters_Topline.pdf,True,
926,CO,Global Strategy Group,,5/7/2020,5/11/2020,5/20/2020 11:50:00,800,rv,Online,53,40,13,,,https://www.globalstrategygroup.com/wp-content/uploads/2020/05/CO-Mountaineer-Q2-Survey-Topline-F05.13.2020.pdf,True,
927,GA,BK Strategies,,5/11/2020,5/13/2020,5/16/2020 12:36:00,700,lv,Live Phone,46,48,-2,,,https://assets.documentcloud.org/documents/6890619/RSLC-Georgia-Memo-May-2020.pdf,True,
928,NC,East Carolina University,,5/7/2020,5/9/2020,5/16/2020 12:35:00,1111,rv,Online,43,46,-3,,,https://surveyresearch-ecu.reportablenews.com/pr/presidential-and-senate-races-remain-close-in-north-carolina-cooper-leads-forest-and-earns-high-approval-for-state-s-coronavirus-response,True,
929,--,Data for Progress,,5/5/2020,5/5/2020,5/16/2020 12:31:00,795,rv,Online,50,44,6,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJLZIN,True,
930,--,Data for Progress,,4/28/2020,4/28/2020,5/16/2020 12:31:00,895,rv,Online,52,43,9,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJLZIN,True,
931,--,Data for Progress,,4/21/2020,4/21/2020,5/16/2020 12:31:00,860,rv,Online,49,44,5,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJLZIN,True,
932,--,Data for Progress,,4/14/2020,4/14/2020,5/16/2020 12:31:00,802,rv,Online,49,45,4,,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJLZIN,True,
933,FL,Florida Atlantic University,,5/8/2020,5/12/2020,5/15/2020 11:13:00,928,rv,IVR/Online,53,47,6,,,https://business.fau.edu/departments/economics/business-economics-polling/bepi-polls/bepi-polls-2020/biden-leads-trump-in-florida.php,True,
934,--,Optimus,,5/5/2020,5/12/2020,5/15/2020 11:10:00,728,lv,Online,52,43,9,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/May-14-2020,True,
935,NJ,Rutgers University,,4/22/2020,5/2/2020,5/15/2020 11:08:00,1364,rv,Live Phone,56,33,23,6.0,7.0,https://eagletonpoll.rutgers.edu/wp-content/uploads/2020/05/Vote-By-Mail-NJ-Primaries-2020.pdf,True,
936,--,YouGov,Economist,5/10/2020,5/12/2020,5/13/2020 14:08:00,1175,rv,Online,47,43,4,4.0,5.0,https://docs.cdn.yougov.com/sww5v5iven/econTabReport.pdf,True,
937,--,SSRS,CNN,5/7/2020,5/10/2020,5/13/2020 14:06:00,1001,rv,Live Phone,51,46,5,1.0,1.0,http://cdn.cnn.com/cnn/2020/images/05/13/rel5c.-.2020.pdf,True,
938,GA,Public Opinion Strategies,,5/4/2020,5/7/2020,5/13/2020 14:04:00,500,lv,Live Phone,47,46,1,,5.0,https://assets.documentcloud.org/documents/6889420/Georgia-Statewide-Key-Findings-Memo.pdf,True,
939,--,Ipsos,Reuters,5/11/2020,5/12/2020,5/13/2020 14:03:00,973,rv,Online,46,38,8,,,https://www.reuters.com/article/us-usa-election-poll/trump-approval-dips-amid-mounting-coronavirus-death-toll-trails-biden-by-8-points-reuters-ipsos-poll-idUSKBN22O3FG,True,
940,WI,Marquette University Law School,,5/3/2020,5/7/2020,5/12/2020 17:25:00,650,lv,Live Phone,49,45,4,4.0,4.0,https://law.marquette.edu/poll/wp-content/uploads/2020/08/MLSP62PressRelease.pdf,True,
941,--,Morning Consult,,5/4/2020,5/10/2020,5/11/2020 18:30:00,27754,rv,Online,52,45,7,,,https://morningconsult.com/2020/05/11/biden-popularity-reade-allegations-polling/,True,
942,--,Redfield & Wilton Strategies,,5/8/2020,5/9/2020,5/11/2020 18:25:00,1500,lv,Online,52,44,8,2.0,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-8-and-9-may/,True,
943,--,RMG Research,ScottRasmussen.com,5/7/2020,5/9/2020,5/11/2020 18:24:00,1200,rv,Online,44,38,6,,,https://scottrasmussen.com/biden-44-trump-38/,True,
944,--,Optimus,,5/2/2020,5/9/2020,5/11/2020 18:17:00,726,lv,Online,50,45,5,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/May-11-2020,True,
945,--,YouGov,Yahoo,5/4/2020,5/5/2020,5/7/2020 17:54:00,1224,rv,Online,45,42,3,5.0,6.0,https://docs.cdn.yougov.com/wllghb6lp9/20200506_yahoo_coronavirus_crosstabs.pdf,True,
946,--,Optimus,,4/28/2020,5/5/2020,5/7/2020 17:54:00,758,lv,Online,51,45,6,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/May-07-2020,True,
947,MA,University of Massachusetts Lowell,,4/27/2020,5/1/2020,5/7/2020 17:53:00,1000,rv,Live Phone,58,30,28,7.0,4.0,https://www.uml.edu/docs/2020-COVID-Topline_tcm18-325770.pdf,True,
948,CT,Quinnipiac University,,4/30/2020,5/4/2020,5/7/2020 17:50:00,945,rv,Live Phone,56,33,23,2.0,1.0,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,True,
949,NJ,Quinnipiac University,,4/30/2020,5/4/2020,5/7/2020 17:50:00,941,rv,Live Phone,54,35,19,2.0,1.0,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,True,
950,NY,Quinnipiac University,,4/30/2020,5/4/2020,5/7/2020 17:50:00,915,rv,Live Phone,55,32,23,3.0,2.0,https://poll.qu.edu/connecticut/release-detail?ReleaseID=3660,True,
951,NV,ALG Research,,4/27/2020,4/30/2020,5/7/2020 17:48:00,763,lv,Online,49,45,4,,,https://thenevadaindependent.com/article/poll-sisolak-looks-strong-despite-shutdown-biden-has-small-lead-over-trump,True,
952,--,YouGov,Economist,5/3/2020,5/5/2020,5/6/2020 11:39:00,1209,rv,Online,46,42,4,5.0,3.0,https://docs.cdn.yougov.com/5yope37lqh/econTabReport.pdf,True,
953,CO,Keating Research,,5/1/2020,5/3/2020,5/6/2020 11:37:00,600,lv,Online,55,35,20,,,https://www.coloradopolitics.com/quick-hits/new-colorado-poll-shows-hickenlooper-widening-double-digit-lead-over-gardner/article_a3ce89ec-8f9b-11ea-8374-cb87df3f5a13.html,True,
954,--,Monmouth,,4/30/2020,5/4/2020,5/6/2020 11:36:00,739,rv,Live Phone,47,40,7,6.0,6.0,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_us_050620.pdf/,True,
955,--,Change Research,,5/1/2020,5/3/2020,5/6/2020 11:33:00,1489,rv,Online,47,44,3,,,https://www.changeresearch.com/post/states-of-play-battleground-wave-4,True,
956,--,Civiqs,,5/2/2020,5/5/2020,5/6/2020 11:32:00,1546,a,Online,47,44,3,,,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2020_05_r8c32an.pdf,True,
957,--,Ipsos,Reuters,5/4/2020,5/5/2020,5/6/2020 11:32:00,1015,rv,Online,43,41,2,,,https://www.reuters.com/article/us-usa-election-poll/bidens-edge-evaporates-as-trump-seen-as-better-suited-for-economy-coronavirus-response-poll-shows-idUSKBN22I005,True,
958,NC,Civiqs,,5/2/2020,5/4/2020,5/6/2020 11:32:00,1362,rv,Online,49,48,1,,,https://civiqs.com/documents/Civiqs_DailyKos_NC_banner_book_2020_05_kld8fh.pdf,True,
959,--,RMG Research,ScottRasmussen.com,4/30/2020,5/2/2020,5/6/2020 11:31:00,1200,rv,Online,46,39,7,,,https://scottrasmussen.com/biden-46-trump-39/,True,
960,MT,Montana State University Bozeman,,4/10/2020,4/27/2020,5/6/2020 11:30:00,549,lv,Online,40,45,-5,,,http://helpslab.montana.edu/documents/western_states_2020_coronavirus_survey/PoliticsPolicy_Montana_Frequencies_01May2020_RELEASE.pdf,True,
961,CO,Montana State University Bozeman,,4/10/2020,4/27/2020,5/6/2020 11:28:00,380,lv,Online,53,35,18,,,http://helpslab.montana.edu/documents/western_states_2020_coronavirus_survey/PoliticsPolicy_Colorado_Frequencies_01May2020_RELEASE.pdf,True,
962,--,Morning Consult,,4/27/2020,5/3/2020,5/6/2020 11:27:00,31117,rv,Online,46,42,4,,,https://morningconsult.com/2020/05/04/after-watching-biden-deny-reades-claims-1-in-4-democrats-want-a-different-nominee/,True,
963,--,Optimus,,4/25/2020,5/2/2020,5/6/2020 11:26:00,765,lv,Online,50,45,5,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/May-04-2020,True,
964,IA,Public Policy Polling,,4/30/2020,5/1/2020,5/4/2020 15:03:00,1222,rv,IVR,46,48,-2,,,https://www.publicpolicypolling.com/wp-content/uploads/2020/05/IowaResultsMay2020.pdf,True,
965,--,YouGov,CBS News,4/28/2020,5/1/2020,5/3/2020 11:38:00,1671,lv,Online,49,43,6,,,https://drive.google.com/file/d/1rPmATVVPfzsgn-1g7m9zX-PfFVgPXCGY/view,True,
966,TX,University of Texas at Tyler,Dallas Morning News,4/18/2020,4/27/2020,5/3/2020 11:36:00,1183,rv,Live Phone/Online,43,43,0,,,https://projects.fivethirtyeight.com/polls/20200502_TX.pdf,True,
967,PA,Harper Polling,,4/21/2020,4/26/2020,5/3/2020 11:33:00,644,lv,Online,49,43,6,,9.0,http://harperpolling.com/docs/default-source/default-document-library/20-04-harper-polling_pa-statewide-key-findings.pdf?sfvrsn=0,True,
968,--,IBD/TIPP,,4/26/2020,4/28/2020,5/1/2020 10:48:00,948,rv,Online,43,43,0,,,https://www.investors.com/news/president-trump-joe-biden-tied-amid-coronavirus-crisis-ibd-tipp-poll/,True,
969,GA,Cygnal,,4/25/2020,4/27/2020,5/1/2020 10:47:00,604,lv,Live Phone/Online,44,45,-1,,,https://assets.documentcloud.org/documents/6880530/20426-GHRT-GA-Toplines.pdf,True,
970,MI,Public Policy Polling,,4/28/2020,4/29/2020,5/1/2020 10:45:00,1270,rv,IVR,50,42,8,,,https://progressmichigan.org/wp-content/uploads/2020/04/Lake-Effect-Poll-April.pdf,True,
971,--,Optimus,,4/21/2020,4/28/2020,4/30/2020 16:35:00,766,lv,Online,49,45,4,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/April-30-2020,True,
972,--,Ipsos,Reuters,4/27/2020,4/29/2020,4/30/2020 15:32:00,1876,rv,Online,45,39,6,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/2020_reuters_tracking_-_core_political_coronavirus_tracker_04_29_2020_.pdf,True,
973,TX,Public Policy Polling,,4/27/2020,4/28/2020,4/30/2020 15:31:00,1032,rv,IVR,47,46,1,,,https://static.texastribune.org/media/files/d72e152a3ad3380ae5a007c0849f2dd1/DTPPP-Texas-April27-28-2020.pdf,True,
974,--,YouGov,Economist,4/26/2020,4/28/2020,4/30/2020 15:30:00,1222,rv,Online,47,41,6,4.0,6.0,https://docs.cdn.yougov.com/4qtpeqbqm8/econTabReport.pdf,True,
975,NH,Saint Anselm College,,4/23/2020,4/27/2020,4/30/2020 15:27:00,820,rv,Online,50,42,8,7.0,2.0,https://htv-prod-media.s3.amazonaws.com/files/stanselmpollapril2020-1588192419.pdf,True,
976,UT,RMG Research,ScottRasmussen.com,4/15/2020,4/21/2020,4/30/2020 15:25:00,964,rv,Online,32,51,-19,,,https://www.deseret.com/utah/2020/4/28/21240213/donald-trump-joe-biden-utah-leads-poll-new-utahns-vote-2020-presidential-election-president-race,True,
977,NC,Garin-Hart-Yang Research Group,Put NC First,4/13/2020,4/18/2020,4/30/2020 15:23:00,800,lv,Live Phone,48,45,3,,,https://nmcdn.io/e186d21f8c7946a19faed23c3da2f0da/7c49efadc86e4da38d1ad3086f727890/files/RFNC-Yang-Polling-Memo---Covid-19.pdf,True,
978,--,Ipsos,Reuters,4/26/2020,4/28/2020,4/28/2020 22:00:00,1001,rv,Online,44,40,4,,,https://www.reuters.com/article/us-usa-election-poll/americans-losing-faith-in-what-trump-says-about-the-coronavirus-reuters-ipsos-poll-idUSKCN22A3CK,True,
979,NC,SurveyUSA,WRAL News,4/23/2020,4/26/2020,4/28/2020 21:53:00,580,lv,Online,50,45,5,,5.0,https://wwwcache.wral.com/asset/news/state/nccapitol/2020/04/28/19075940/WRAL_News_poll__April_28__2020_-DMID1-5mno7xute.pdf,True,
980,--,RMG Research,ScottRasmussen.com,4/23/2020,4/25/2020,4/28/2020 21:50:00,1200,rv,Online,46,38,8,6.0,9.0,https://scottrasmussen.com/biden-46-trump-38/,True,
981,--,Morning Consult,,4/20/2020,4/26/2020,4/27/2020 17:57:00,30560,rv,Online,46,42,4,,,https://morningconsult.com/2020/04/27/trump-coronavirus-net-approval-new-low/,True,
982,--,Suffolk University,USA TODAY,4/21/2020,4/25/2020,4/27/2020 17:50:00,1000,rv,Live Phone,44,38,6,8.0,8.0,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/national/2020/4_27_2020_marginals_pdftxt.pdf,True,
983,OH,Baldwin Wallace University,,4/20/2020,4/25/2020,4/27/2020 17:44:00,797,rv,Online,45,44,1,,11.0,https://www.bw.edu/Assets/community-research-institute/04-2020_ohio_poll%20release.pdf,True,
984,--,Optimus,,4/18/2020,4/25/2020,4/27/2020 17:41:00,748,lv,Online,52,44,8,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/blob/master/April-27-2020/Toplines_2020-04-25.pdf,True,
985,NY,Siena College,,4/19/2020,4/23/2020,4/27/2020 17:40:00,803,rv,Live Phone,65,29,36,,6.0,https://scri.siena.edu/wp-content/uploads/2020/04/SNY0420-Crosstabs.pdf,True,
986,--,Fordham University,,4/16/2020,4/20/2020,4/27/2020 17:38:00,800,rv,Online,56,42,14,,,http://www.globenewswire.com/news-release/2020/04/24/2021853/0/en/The-COVID-19-Pandemic-Prospects-for-the-November-Elections.html,True,
987,--,Climate Nexus,,4/19/2020,4/19/2020,4/27/2020 17:36:00,1917,rv,Online,49,40,9,,10.0,https://climatenexus.org/wp-content/uploads/2015/09/Coronavirus-National-Poll-Toplines-and-Crosstabs-FINAL.pdf,True,
988,TX,YouGov,UT/Texas Tribune,4/10/2020,4/19/2020,4/25/2020 1:43:00,1200,rv,Online,44,49,-5,7.0,,https://static.texastribune.org/media/files/c2225265b2e1fb7d6e3929961fb59e16/ut-tt-2020-04-summary.pdf?_ga=2.239171587.1033746652.1587793318-1495747903.1587793318,True,
989,--,Redfield & Wilton Strategies,,4/21/2020,4/21/2020,4/24/2020 23:57:00,1500,lv,Online,54,44,10,,,,True,
990,NM,Public Policy Polling,,4/20/2020,4/21/2020,4/24/2020 23:53:00,1009,rv,IVR,52,40,12,,,,True,
991,PA,Hodas & Associates,Restoration PAC,4/16/2020,4/18/2020,4/24/2020 23:45:00,600,lv,Live Phone,47,47,0,,,https://data.restorationofamerica.com/pennsylvania_april,True,
992,WI,Hodas & Associates,Restoration PAC,4/13/2020,4/15/2020,4/24/2020 23:43:00,600,lv,Live Phone,50,45,5,,,https://data.restorationofamerica.com/wisconsin_april,True,
993,MI,Hodas & Associates,Restoration PAC,4/9/2020,4/11/2020,4/24/2020 23:42:00,600,lv,Live Phone,49,43,6,,,https://data.restorationofamerica.com/michigan_april,True,
994,--,Redfield & Wilton Strategies,,4/23/2020,4/23/2020,4/24/2020 23:39:00,1500,lv,Online,52,44,8,4.0,,https://redfieldandwiltonstrategies.com/research/current-us-voting-intention-march/,True,
995,WI,Public Policy Polling,,4/20/2020,4/21/2020,4/23/2020 16:37:00,1415,rv,IVR,50,45,5,,4.0,https://www.protectourcare.org/wp-content/uploads/2020/04/WisconsinResults1.pdf,True,
996,PA,Public Policy Polling,,4/20/2020,4/21/2020,4/23/2020 16:37:00,1251,rv,IVR,51,44,7,,5.0,https://www.protectourcare.org/wp-content/uploads/2020/04/PennsylvaniaResults1.pdf,True,
997,MI,Public Policy Polling,,4/20/2020,4/21/2020,4/23/2020 16:37:00,1277,rv,IVR,51,44,7,,5.0,https://www.protectourcare.org/wp-content/uploads/2020/04/MichiganResults1.pdf,True,
998,NC,Public Policy Polling,,4/20/2020,4/21/2020,4/23/2020 16:37:00,1275,rv,IVR,49,46,3,,5.0,https://www.protectourcare.org/wp-content/uploads/2020/04/NorthCarolinaResults1.pdf,True,
999,--,Optimus,,4/14/2020,4/21/2020,4/23/2020 16:34:00,829,lv,Online,53,44,9,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/tree/master/April-23-2020,True,
1000,PA,Susquehanna Polling & Research Inc.,FOX43,4/14/2020,4/20/2020,4/23/2020 16:31:00,693,lv,Live Phone/Online,48,42,6,1.0,8.0,https://www.fox43.com/article/news/fox43-poll-majority-approve-wolf-biden-leads-trump/521-f7d7fd42-1e39-43fd-864f-0ede71dfc711,True,
1001,NJ,Monmouth University,,4/16/2020,4/19/2020,4/23/2020 10:26:00,635,rv,Live Phone,54,38,16,2.0,6.0,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_nj_042320.pdf/,True,
1002,WI,Ipsos,Reuters,4/15/2020,4/20/2020,4/23/2020 0:18:00,645,rv,Online,43,40,3,,,https://www.reuters.com/article/us-usa-election-battlegrounds-exclusive/exclusive-poll-signals-strengthening-support-for-biden-over-trump-in-three-midwest-battleground-states-idUSKCN2243KJ,True,
1003,PA,Ipsos,Reuters,4/15/2020,4/20/2020,4/23/2020 0:18:00,578,rv,Online,46,40,6,,,https://www.reuters.com/article/us-usa-election-battlegrounds-exclusive/exclusive-poll-signals-strengthening-support-for-biden-over-trump-in-three-midwest-battleground-states-idUSKCN2243KJ,True,
1004,MI,Ipsos,Reuters,4/15/2020,4/20/2020,4/23/2020 0:18:00,612,rv,Online,46,38,8,,,https://www.reuters.com/article/us-usa-election-battlegrounds-exclusive/exclusive-poll-signals-strengthening-support-for-biden-over-trump-in-three-midwest-battleground-states-idUSKCN2243KJ,True,
1005,PA,Fox News/Beacon Research/Shaw & Co. Research,,4/18/2020,4/21/2020,4/22/2020 18:45:00,803,rv,Live Phone,50,42,8,2.0,2.0,https://www.scribd.com/document/457806519/Fox-News-Poll-April-18-21-2020,True,
1006,MI,Fox News/Beacon Research/Shaw & Co. Research,,4/18/2020,4/21/2020,4/22/2020 18:45:00,801,rv,Live Phone,49,41,8,3.0,1.0,https://www.scribd.com/document/457806530/Fox-News-Poll-April-18-21-2020,True,
1007,--,YouGov,Economist,4/19/2020,4/21/2020,4/22/2020 14:17:00,1144,rv,Online,48,42,6,3.0,5.0,https://docs.cdn.yougov.com/pwwefjdnsp/econTabReport.pdf,True,
1008,FL,Quinnipiac University,,4/16/2020,4/20/2020,4/22/2020 14:15:00,1385,rv,Live Phone,46,42,4,4.0,7.0,https://poll.qu.edu/florida/release-detail?ReleaseID=3659,True,
1009,--,Change Research,CNBC,4/17/2020,4/18/2020,4/22/2020 14:14:00,1178,lv,Online,48,44,4,6.0,1.0,https://www.changeresearch.com/post/states-of-play-battleground-wave-3,True,
1010,--,Ipsos,Reuters,4/15/2020,4/21/2020,4/22/2020 1:04:00,3806,rv,Online,47,39,8,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-04/2020_reuters_tracking_-_core_political_coronavirus_tracker_04_22_2020_0.pdf,True,
1011,--,Morning Consult,,4/13/2020,4/19/2020,4/21/2020 16:08:00,31482,rv,Online,47,42,5,,,https://morningconsult.com/2020/04/21/endorsements-biden-younger-voters/,True,
1012,--,Morning Consult,,4/6/2020,4/12/2020,4/21/2020 16:08:00,25372,rv,Online,45,42,3,,,https://morningconsult.com/2020/04/21/endorsements-biden-younger-voters/,True,
1013,--,RMG Research,ScottRasmussen.com,4/16/2020,4/18/2020,4/21/2020 16:05:00,1200,rv,IVR/Online,49,40,9,5.0,6.0,https://justthenews.com/politics-policy/polling/joe-biden-nine-point-advantage-over-trump-among-registered-voters,True,
1014,--,Optimus,,4/11/2020,4/18/2020,4/21/2020 16:03:00,745,lv,Online,52,44,8,,,https://github.com/optimus-forecasting-and-polling/Firehouse-0ptimus-Coronavirus-Tracking/blob/master/April-20-2020/Toplines_2020-04-18.pdf,True,
1015,MS,Chism Strategies,,4/6/2020,4/9/2020,4/21/2020 16:01:00,508,lv,Live Phone,38,49,-11,7.0,7.0,http://www.millsaps.edu/_resources/documents/2020-april-sots.pdf,True,
1016,WA,EMC Research,,3/31/2020,4/6/2020,4/21/2020 11:34:00,427,rv,Online,52,39,13,,9.0,https://www.postalley.org/wp-content/uploads/2020/04/20-7678-Report-WA-State-Residents-Full-Deck-with-Trump.pdf,True,
1017,--,NBC News/Wall Street Journal,,4/13/2020,4/15/2020,4/21/2020 11:30:00,900,rv,Live Phone,49,42,7,5.0,4.0,https://www.documentcloud.org/documents/6842659-200203-NBCWSJ-April-Poll-4-19-20-Release.html,True,
1018,IN,Change Research,Indy Politics,4/10/2020,4/13/2020,4/21/2020 11:29:00,1021,lv,Online,39,52,-13,5.0,3.0,http://indypolitics.org/poll-positions-9/,True,
1019,--,The Harris Poll,Harvard,4/14/2020,4/16/2020,4/18/2020 19:47:00,1675,lv,Online,53,47,6,,,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/3407e677-0744-4341-96c6-1b94a6b571b0/HHP_Apr20_PRESENTATION_vF_April.pdf,True,
